Unnamed: 0,publication_title,num_cited_references
0,Optimization for L1-Norm Error Fitting via Data Aggregation,0
183,Permittivity Extraction from Synthetic Aperture Radar (SAR) Images of Multilayered Media,0
169,Effects of Splits Content on Dry Matter Loss Rates of Soybeans Measured Using a Static Grain Respiration Measurement System,0
164,Corrigendum: Polysaccharide Biosynthesis: Glycosyltransferases and Their Complexes,0
161,Preface to the Special Issue on Sexual Development and the Environment,0
160,A residual-based approach for robust random forest regression,0
148,Comparison of Dry Matter Loss Rates from Static and Dynamic Grain Respiration Measurement Systems for Soybeans at 18% Moisture Content and 30°C,0
145,Dynamics of many species through competition for resources,0
140,An Online Feedback-Based Linearized Power Flow Model for Unbalanced Distribution Networks,0
137,Effectiveness of Denitrifying Bioreactors on Water Pollutant Reduction from Agricultural Areas,0
136,Modeling and Forecasting COVID-19,0
135,Staphylococcus aureus resistentes aos β-lactâmicos em mastites de gado leiteiro: uma meta-análise / Staphylococcus aureus resistant to β-lactam antibiotics in mastitis dairy herds: a meta-analysis,0
131,Selling High-Tech Inputs to the Enemy,0
129,"Soybean Aphid Insecticide Efficacy Screening, 2020",0
126,"Soybean Gall Midge Efficacy, 2020",0
124,Clustering Mashups by Integrating Structural and Semantic Similarities Using Fuzzy AHP,0
122,"DEXMEDETOMIDINE, BUTORPHANOL, AND MIDAZOLAM AS A REVERSIBLE INDUCTION PROTOCOL IN NORTH AMERICAN RIVER OTTERS (LONTRA CANADENSIS)",0
119,Innovative Partnerships,0
108,CAMEL–CANAR Regulates PIN Trafficking and Polarity,0
103,Correction to: Texture Analysis of Additively Manufactured Ti-6Al-4V Deposited Using Different Scanning Strategies,0
100,Is Accounting Information Quality Priced in Managerial Labor Market?,0
98,Clinical Validity of the Test of Gross Motor Development-3 in Children With Disabilities from the U.S. National Normative Sample,0
96,"Dust Bowls of Empire: Imperialism, Environmental Politics, and the Injustice of “Green” Capitalism. By Hannah Holleman. New Haven: Yale University Press, 2018. 256 pp. Index and notes. Cloth $35.00. Legacies of Dust: Land Use and Labor on the Colorado Plains. By Douglas Sheflin. Lincoln: University of Nebraska Press, 2019. xvi + 406 pp. Illustrations, maps, notes, bibliography, and index. Cloth $55.00, e-book $55.00.",0
81,Quantitative Assessment of Satellite L-Band Vegetation Optical Depth in the U.S. Corn Belt,0
186,Designing Adaptive Extended Reality Training Systems Based on Expert Instructor Behaviors,0
188,"Return of Topeka Shiner (Notropis topeka) to Restored Oxbows in the White Fox Creek Watershed, Iowa, USA",0
192,Editorial: Functional Annotation of Animal Genomes,0
196,Crypto-Aided MAP Test for Low-Latency Detection of False Data in Short Packets,0
227,Effect of Pooling Family Oral Fluids on the Probability of PRRSV RNA Detection by RT-rtPCR,0
226,Additives Improved Saprotrophic Fungi&nbsp;For&nbsp;Formation of Humic Acids in Chicken Manure and Corn Stover Mix Composting,0
224,Laser Powder Bed Fusion Additive Manufacturing of Oxide Dispersion Strengthened Steel Using Gas Atomized Reaction Synthesis Powder,0
223,Integration of Report-Based Methods to Enhance the Interpretation of Monitor-Based Research: Results From the Free-Living Activity Study for Health Project,0
221,A Numerical Hand-Glove/Mitten Model for Predicting Thermophysiological Responses of the Human Hand in Various Cold Environments,0
220,"6FDA-DABA Polyimide – Poly(Phenylene) Homopolymer and Copolymer Synthesis, Block Compatibility, FFV, Physical Properties, X-Ray Scattering, Gas Separation Performance, and Modeled Gas Transport",0
219,Does Education Enhance Entrepreneurship?,0
218,Development of a Data-Assimilation System to Forecast Agricultural Systems: A Case Study of Constraining Soil Water and Soil Nitrogen Dynamics in the Apsim Model,0
217,Rna Chain Length and Stoichiometry Govern Surface Tension and Stability of Protein-RNA Condensates,0
215,Corrigendum: The Influence of Moderate Physical Activity on Brain Monoaminergic Responses to Binge-Patterned Alcohol Ingestion in Female Mice,0
214,Design Space of Delta-Doped β -(AlₓGa₁₋ₓ)₂O₃/Ga₂O₃ High-Electron Mobility Transistors,0
78,Multi-component fuel drop-wall interactions at high ambient pressures,0
213,Mechanical Properties and Piezoresistive Performance of Intrinsic Cement-Based Sensors Subjected to Impact Load,0
211,Analysis of the Directivity of Longitudinal Waves Based on Double-Fold Coil Emat Phased Array,0
209,A Microfluidic Chip for Growth and Characterization of Adult Rat Hippocampal Progenitor Cell Neurospheroids,0
208,Spatial Equilibria: The Case of Two Regions,0
207,Mechanically Strengthened Heterogeneous Sm-Co Sintered Magnets,0
206,Field Evaluation of Sustainable High Rap Asphalt Mixtures Containing Rejuvenators,0
205,A Multifactor Perspective on Volatility-Managed Portfolios,0
204,eLegalls: Legal Informatics-enabled Legal Tech to Aid Lawyering,0
203,Thermal Gradient Strategy to Improve Early Cycling Performance in Anode-Free Li-Metal Batteries,0
201,On extended commuting operators,0
200,Defensive Ecological Adaptive Cruise Control Considering Neighboring Vehicles’ Blind-Spot Zones,0
197,Whole genome sequencing analyses identified genomic regions affecting genetic defects in cultivated gilthead seabream (Sparus aurata),0
