Unnamed: 0,publication_title,num_cited_references
0,Optimization for L1-Norm Error Fitting via Data Aggregation,0
1,Crisis Management and Corporate Apology: The Effects of Causal Attribution and Apology Type on Publics’ Cognitive and Affective Responses:,41
2,"Evaluating Relationships between Perception-Reaction Times, Emergency Deceleration Rates, and Crash Outcomes using Naturalistic Driving Data",23
3,Towards Smartphone Operating System Identification,0
4,Coping With College Obstacles: The Complicated Role of Familia for First-Generation Mexican American College Students:,17
5,"Retirement, Pensions, and Depressive Symptoms Among Older Adults in China, England, Mexico, and the United States",52
6,Building Transparency and Trustworthiness in Inductive Research Through Computer-Aided Qualitative Data Analysis Software,47
7,Impacts of agricultural price support policy on price variability and welfare: Evidence from China's soybean market,37
8,Consensus of All Solutions for Intractable Phylogenetic Tree Inference,58
9,Numerically stable coded matrix computations via circulant and rotation matrix embeddings,0
10,Psychological and endocannabinoid responses to aerobic exercise in substance use disorder patients,79
11,Prediction of engineering properties of fly ash-based geopolymer using artificial neural networks,21
12,Promoting sustainable agriculture: Iowa stakeholders’ perspectives on the US Farm Bill conservation programs,30
13,Informal Learning Environments and Impact on Interest in STEM Careers,30
14,"Toward a Professional Development Model for Writing as a Digital, Participatory Process",58
15,Application of quadrature-based moment methods to the conditional moment closure,16
16,Identifying early indicator traits for sow longevity using a linear-threshold model in Thai Large White and Landrace females,14
17,"Development of theory of mind on online social networks: Evidence from Facebook, Twitter, Instagram, and Snapchat",87
18,Variogram Roughness Method for Casting Surface Characterization,9
19,"Hölder, Sobolev, weak-type and BMO estimates in mixed-norm with weights for parabolic equations",14
20,Higgs boson production cross-section measurements and their EFT interpretation in the $$4\ell $$ decay channel at $$\sqrt{s}=$$13 TeV with the ATLAS detector,200
21,Numerical verification of variable friction cladding connection for multihazard mitigation,56
22,Are Visible Fractures Accurate Predictors of Flow and Mass Transport in Fractured Till?,20
23,Phytonematode peptide effectors exploit a host post‐translational trafficking mechanism to the ER using a novel translocation signal,56
24,Three-dimensional Wadell roundness for particle angularity characterization of granular soils,83
25,Methodologies to mitigate wind-induced vibration of tall buildings: A state-of-the-art review,154
26,Performance evaluation of geosynthetic reinforced flexible pavement: a review of full-scale field studies,16
27,Associations of movement behaviors and body mass index: comparison between a report-based and monitor-based method using Compositional Data Analysis,41
28,Anisotropic Metasurface Holography in 3-D Space With High Resolution and Efficiency,62
29,Finite symmetric tensor categories with the Chevalley property in characteristic 2,7
30,Performance-based economic analysis to find the sustainable aggregate option for a granular roadway,40
31,Interactive Web‐based Data Visualization and Analysis Tool for Synthetizing on‐farm Research Networks Data,12
32,Measurement of hadronic event shapes in high-pT multijet final states at $$ \sqrt{s} $$ = 13 TeV with the ATLAS detector,33
33,First Report of Brown Leaf Spot of Rice Caused byBipolaris zeicolain Pakistan,0
34,Light scattering by pores in YAG transparent ceramics simulated by DDA model,35
35,Assessing benefits of artificial drainage on soybean yield in the North Central US region,24
36,Performance improvement of mixed-flow centrifugal pumps with new impeller shrouds: Numerical and experimental investigations,29
37,Identity of Engineering Expertise: Implicitly Biased and Sustaining the Gender Gap,28
38,"Developmental Variation in Amygdala Volumes: Modeling Differences Across Time, Age, and Puberty",29
39,Challenges and Opportunities in Machine-Augmented Plant Stress Phenotyping,104
40,Static and Dynamic Space Usage of Late-Gestation Sows,0
41,Strategies for the utilization of the USDA mung bean germplasm collection for breeding outcomes,72
42,Ecological restoration impact on total terrestrial water storage,65
43,The older plant gets the sun: Age‐related changes in Miscanthus × giganteus phenology,57
44,Real-Time Area Angle Monitoring Using Synchrophasors: A Practical Framework and Utility Deployment,0
45,Morphological evolution and molecular phylogenetics of the Merostachys clade (Poaceae: Bambusoideae: Bambuseae: Arthrostylidiinae) based on multi-locus plastid sequences,69
46,Demographic differences on health personality in a United States older adult sample,22
47,Ketonic decarboxylation and esterification of propionic acid over beta zeolites,51
48,Nonlinear Multiple Models Adaptive Secondary Voltage Control of Microgrids,51
49,"Listening to Head Start teachers: Teacher beliefs, practices, and needs for educating dual language learners",37
50,"Comparison of aerial and ground sprayer fungicide application technologies on canopy coverage, disease severity, lodging, and yield of corn",14
